year,week,player,touchdowns,passing_yds
2013,1,Joe Flacco,2,362
2013,2,Joe Flacco,1,211
2013,3,Joe Flacco,0,171
2013,4,Joe Flacco,2,347
2013,5,Joe Flacco,0,269
2013,6,Joe Flacco,2,342
2013,7,Joe Flacco,1,215
2013,9,Joe Flacco,2,250
2013,10,Joe Flacco,2,140
2013,11,Joe Flacco,1,162
2013,12,Joe Flacco,1,273
2013,13,Joe Flacco,1,251
2013,14,Joe Flacco,3,245
2013,15,Joe Flacco,0,222
2013,16,Joe Flacco,0,260
2014,1,Joe Flacco,1,345
2014,2,Joe Flacco,2,166
2014,3,Joe Flacco,1,217
2014,4,Joe Flacco,3,327
2014,5,Joe Flacco,0,235
2014,6,Joe Flacco,5,306
2014,7,Joe Flacco,2,258
2014,8,Joe Flacco,0,195
2014,9,Joe Flacco,2,303
2014,10,Joe Flacco,1,169
2014,12,Joe Flacco,1,243
2014,13,Joe Flacco,2,225
2014,14,Joe Flacco,2,269
2014,15,Joe Flacco,1,221
2014,16,Joe Flacco,2,195
2015,1,Joe Flacco,0,117
2015,1,Jameis Winston,2,210
2015,1,Marcus Mariota,4,209
2015,2,Marcus Mariota,2,257
2015,2,Jameis Winston,1,207
2015,2,Joe Flacco,2,384
2015,3,Jameis Winston,1,261
2015,3,Joe Flacco,2,362
2015,3,Marcus Mariota,2,367
2015,4,Joe Flacco,1,189
2015,4,Jameis Winston,2,287
2015,5,Jameis Winston,1,209
2015,5,Joe Flacco,1,210
2015,5,Marcus Mariota,0,187
2015,6,Marcus Mariota,1,219
2015,6,Joe Flacco,2,343
2015,7,Jameis Winston,2,297
2015,7,Joe Flacco,1,252
2015,8,Joe Flacco,1,319
2015,8,Jameis Winston,1,177
2015,9,Marcus Mariota,4,371
2015,9,Jameis Winston,0,249
2015,10,Jameis Winston,0,264
2015,10,Marcus Mariota,0,185
2015,10,Joe Flacco,3,316
2015,11,Marcus Mariota,0,231
2015,11,Jameis Winston,5,246
2015,11,Joe Flacco,1,299
2015,12,Jameis Winston,1,245
2015,12,Marcus Mariota,3,218
2015,13,Marcus Mariota,3,268
2015,13,Jameis Winston,1,227
2015,14,Marcus Mariota,0,274
2015,14,Jameis Winston,1,182
2015,15,Jameis Winston,2,363
2015,15,Marcus Mariota,0,32
2015,16,Jameis Winston,2,295
