college_name,state,percent_female,percent_stem,div1_fball,school_sector,undergraduate_enrollment,mid_career_median_pay,rank,col_index,gam_residual
Harvard University,Massachusetts,38,20,0,1,14128,140700,1,127.6,5950.639099307329
Stanford University,California,36,48,1,1,8302,140400,2,141,1078.9126950706122
Yale University,Connecticut,39,24,0,1,7150,132100,3,127.1,19.731845672242343
Princeton University,New Jersey,36,47,0,1,5666,147800,4,118.4,13400.296618210472
Massachusetts Institute of Technology,Massachusetts,34,60,0,1,4680,147e3,5,127.6,4956.075326651189
California Institute of Technology,California,27,73,0,1,1034,142500,6,141,-7468.188461374521
University of Pennsylvania,Pennsylvania,41,23,0,1,13096,134800,7,101.2,7297.184226118523
Duke University,North Carolina,37,27,1,1,7253,134400,8,93.9,8970.446697869353
Brown University,Rhode Island,42,40,0,1,7214,132e3,9,122.2,1837.9465151998593
Pomona College,California,38,44,0,1,1677,114100,10,141,-15808.55388180427
Claremont McKenna College,California,36,15,0,1,1359,130800,11,141,3853.7215095983847
Dartmouth College,New Hampshire,37,33,0,1,4695,140300,12,112,13291.185789550887
Williams College,Massachusetts,39,34,0,1,2233,138400,13,127.6,12226.020089488462
Columbia University in the City of New York,New York,35,31,0,1,8623,124700,14,133.9,-8078.82324714266
Cornell University,New York,39,44,0,1,14656,123900,15,133.9,-10405.991380701249
University of Chicago,Illinois,36,21,0,1,6046,117e3,16,96.7,-6677.035524738123
Amherst College,Massachusetts,38,28,0,1,1921,122800,17,127.6,-2244.263495134772
Harvey Mudd College,California,34,68,0,1,831,155800,18,141,14868.861659914459
Swarthmore College,Pennsylvania,38,35,0,1,1606,126200,19,101.2,6302.519084719868
United States Naval Academy,Maryland,11,56,1,0,4535,143800,20,130.4,52.85925937752472
Georgetown University,District of Columbia,44,13,0,1,8719,129500,21,161.8,2026.8292804228113
Rice University,Texas,35,49,1,1,4051,130200,22,91.3,5831.467980825124
Bowdoin College,Maine,38,36,0,1,1952,115500,23,116.3,-7099.708718853071
United States Military Academy,New York,8,44,1,0,4536,144300,24,133.9,4885.269289668766
Haverford College,Pennsylvania,40,39,0,1,1305,119500,25,101.2,1491.4518570414948
University of Notre Dame,Indiana,36,27,1,1,8626,127900,26,91.5,6076.892576076658
Vanderbilt University,Tennessee,38,23,1,1,7046,116e3,27,89.4,-3336.083005542343
Northwestern University,Illinois,39,20,1,1,10611,113300,28,96.7,-8495.569637111883
University of California-Berkeley,California,40,35,1,0,29591,130100,29,141,4957.635543599608
Johns Hopkins University,Maryland,43,34,0,1,8152,112200,30,130.4,-13364.464187575111
Washington and Lee University,Virginia,37,22,0,1,1867,131700,31,102.1,14144.566087685627
Tufts University,Massachusetts,39,25,0,1,5697,120200,32,127.6,-4361.016292197281
Wesleyan University,Connecticut,43,23,0,1,3091,117700,33,127.1,-2784.0940027962934
Davidson College,North Carolina,39,25,0,1,1928,111400,34,93.9,-2918.4227384604455
Bates College,Maine,38,27,0,1,1903,125e3,35,116.3,5626.404767618893
Washington University in St Louis,Missouri,42,32,0,1,8440,113400,36,88.9,-3247.221652184584
Carleton College,Minnesota,40,41,0,1,2093,113800,37,100.2,-2637.198967848526
University of Michigan-Ann Arbor,Michigan,37,39,1,0,29124,104600,38,88.7,-11485.732120102257
Middlebury College,Vermont,41,19,0,1,3849,113200,39,117.4,-5808.6385953071
University of Virginia-Main Campus,Virginia,43,22,1,0,18930,118400,40,102.1,3203.748421818964
United States Air Force Academy,Colorado,11,48,1,0,4112,138300,41,103.9,7840.698728186166
Colgate University,New York,44,28,0,1,2991,137700,42,133.9,18784.32059373503
Scripps College,California,87,25,0,1,1023,96700,43,141,-8661.688928628326
University of Southern California,California,38,25,1,1,20543,119300,44,141,-7061.138079790209
Carnegie Mellon University,Pennsylvania,32,58,0,1,6869,126400,45,101.2,-3285.0685757181927
Wellesley College,Massachusetts,82,30,0,1,2644,100900,47,127.6,-5409.368376537488
University of California-Los Angeles,California,44,32,1,0,31906,114800,48,141,-4597.435437057735
Boston College,Massachusetts,41,12,1,1,10297,115300,49,127.6,-5843.543112188709
Vassar College,New York,45,28,0,1,2625,98900,50,133.9,-17647.529655403996
United States Merchant Marine Academy,New York,7,53,0,0,908,135900,51,133.9,1411.7097510658205
New York University,New York,45,18,0,1,3e4,117e3,52,133.9,-4216.126746844209
Oberlin College,Ohio,44,24,0,1,3042,107600,53,92.7,-1641.5412721937755
Barnard College,New York,87,20,0,1,2669,103700,54,133.9,-385.3618493996619
Bucknell University,Pennsylvania,40,38,0,1,3721,124700,55,101.2,10774.650860841837
Lafayette College,Pennsylvania,37,42,0,1,2541,123800,56,101.2,9077.801515123108
Grinnell College,Iowa,43,37,0,1,1774,96200,57,91.9,-11884.073118472355
College of William and Mary,Virginia,45,21,0,0,6890,111900,58,102.1,3156.508429822323
Pitzer College,California,45,14,0,1,1094,91100,59,141,-21534.263369904904
Wake Forest University,North Carolina,40,15,1,1,4966,118400,60,93.9,7841.011711590181
Colby College,Maine,41,29,0,1,2055,104200,61,116.3,-8895.693634111507
Cooper Union for the Advancement of Science and Art,New York,22,53,0,1,942,124200,62,133.9,-4427.017922977917
Kenyon College,Ohio,43,18,0,1,1764,110400,63,92.7,4428.090721308021
Santa Clara University,California,38,31,0,1,5759,134500,64,141,14642.9987530754
Hamilton College,New York,40,29,0,1,2036,107e3,65,133.9,-7980.23131671756
Emory University,Georgia,46,22,0,1,7764,109800,66,90.8,806.4568321830156
Lehigh University,Pennsylvania,32,51,0,1,5325,133900,67,101.2,13175.268123910326
University of North Carolina at Chapel Hill,North Carolina,46,19,1,0,19312,96e3,68,93.9,-10403.81344883771
University of Illinois at Urbana-Champaign,Illinois,32,38,1,0,34687,109600,69,96.7,-4421.211751532799
Reed College,Oregon,43,27,0,1,1491,103900,70,130,-8008.777854507483
Smith College,Massachusetts,87,24,0,1,2603,98400,71,127.6,-2019.768010554515
University of Maryland-College Park,Maryland,34,33,1,0,31050,107100,72,130.4,-10931.540718576187
Villanova University,Pennsylvania,42,24,0,1,7871,114700,73,101.2,2852.413388300891
Babson College,Massachusetts,36,1,0,1,2211,141700,74,127.6,31081.77625770461
Yeshiva University,New York,33,14,0,1,2949,122300,75,133.9,6332.40773744577
Colorado College,Colorado,42,29,0,1,2322,97e3,76,103.9,-10783.59823560137
Occidental College,California,45,26,0,1,2178,107700,77,141,-3889.1405337846372
Whitman College,Washington,46,39,0,1,1562,107700,78,108.3,606.3262450156035
University of Washington-Seattle Campus,Washington,40,33,1,0,34486,108800,79,108.3,-2147.152845503282
University of Florida,Florida,43,28,1,0,36703,97800,80,98.9,-9466.438811813146
Georgia Institute of Technology-Main Campus,Georgia,23,64,1,0,16694,128700,81,90.8,2684.522901552875
University of Richmond,Virginia,43,15,0,1,3910,106600,82,102.1,28.479901291793794
University of California-Santa Barbara,California,40,29,0,0,21897,118800,83,141,4652.689967817918
Trinity College,Connecticut,36,19,0,1,2434,108700,84,127.1,-3930.994649709057
University of Rochester,New York,39,33,0,1,6821,107400,85,133.9,-8705.189017915603
Boston University,Massachusetts,48,24,0,1,22685,113500,86,127.6,-148.66057585773524
University of Wisconsin-Madison,Wisconsin,39,33,1,0,33400,98400,87,96.3,-8910.059671964686
George Washington University,District of Columbia,44,15,0,1,12039,115900,88,161.8,173.8372441795218
College of the Holy Cross,Massachusetts,38,23,0,1,2759,119700,89,127.6,8018.175856317408
Trinity University,Texas,40,23,0,1,2298,101600,90,91.3,-1568.263829319636
The University of Texas at Austin,Texas,40,27,1,0,42193,107400,91,91.3,2994.0914768141374
Franklin and Marshall College,Pennsylvania,41,22,0,1,2417,112400,92,101.2,7493.765156909882
University of California-San Diego,California,35,53,0,0,27918,124900,93,141,3966.80520203957
Skidmore College,New York,49,22,0,1,2798,97300,94,133.9,-10149.579839926635
Bryn Mawr College,Pennsylvania,87,20,0,1,1430,89900,95,101.2,-472.249408940188
Furman University,South Carolina,44,17,0,1,2887,104e3,96,98.3,1493.1188810462045
University of Miami,Florida,40,23,1,1,12243,92400,97,98.9,-17250.505514816454
Southern Methodist University,Texas,38,21,1,1,6866,108500,98,91.3,2065.1506517313246
Brandeis University,Massachusetts,45,27,0,1,3852,114200,99,127.6,5561.241111186697
Macalester College,Minnesota,48,34,0,1,2238,97700,100,100.2,-3525.3796946911607
St Olaf College,Minnesota,45,33,0,1,3122,98700,101,100.2,-4248.629346855785
University of California-Davis,California,46,38,0,0,30215,110900,102,141,825.7108917859587
Rhode Island School of Design,Rhode Island,56,1,0,1,2045,96300,103,122.2,-1828.342455195423
Worcester Polytechnic Institute,Massachusetts,21,69,0,1,4362,129400,104,127.6,-4593.52752393618
Connecticut College,Connecticut,50,28,0,1,1972,99200,105,127.1,-5028.761564127897
University of California-Irvine,California,42,33,0,0,26991,118800,106,141,8484.497288780418
Case Western Reserve University,Ohio,33,38,0,1,5298,111100,107,92.7,3422.604814886974
Rhodes College,Tennessee,46,31,0,1,2130,97100,108,89.4,-886.8542982756771
Virginia Polytechnic Institute and State University,Virginia,30,40,1,0,26211,110200,109,102.1,-68.25126193583128
University of Georgia,Georgia,45,13,1,0,30197,97300,112,90.8,-1418.9404430934082
New College of Florida,Florida,50,1,0,0,884,82500,113,98.9,-6167.508817946247
Rose-Hulman Institute of Technology,Indiana,11,74,0,1,2339,125900,116,91.5,-5786.99458861482
DePauw University,Indiana,42,24,0,1,2285,109400,117,91.5,10506.283804069244
Dickinson College,Pennsylvania,46,23,0,1,2427,101700,118,101.2,1987.5967966774915
Bentley University,Massachusetts,29,8,0,1,4369,114300,119,127.6,3256.9065457621473
Denison University,Ohio,45,23,0,1,2283,105100,120,92.7,7414.951727038002
Rensselaer Polytechnic Institute,New York,19,62,0,1,5914,129500,121,133.9,-1363.2352721881034
Colorado School of Mines,Colorado,16,72,0,0,4821,136100,122,103.9,7953.187351574175
Tulane University of Louisiana,Louisiana,46,19,1,1,8798,108700,123,93.4,7066.250660647682
University of Connecticut,Connecticut,38,25,1,0,20152,99200,124,127.1,-9017.921653887504
James Madison University,Virginia,46,14,0,0,21306,101700,125,102.1,2152.9022152932885
University of Delaware,Delaware,45,23,0,0,20498,102700,126,105.4,1193.0592855607392
SUNY at Binghamton,New York,36,34,0,0,14663,110200,127,133.9,275.07897042307013
Mount Holyoke College,Massachusetts,87,30,0,1,2346,88600,128,127.6,-3826.6967608153936
American University,District of Columbia,50,4,0,1,8666,106900,129,161.8,1669.1492875236436
Wofford College,South Carolina,39,27,0,1,1702,97600,130,98.3,-2175.721767625335
Ohio State University-Main Campus,Ohio,36,27,1,0,48487,92400,131,92.7,-7948.440747644214
Fordham University,New York,44,10,0,1,9785,111300,132,133.9,3645.7845611065713
Clemson University,South Carolina,34,38,1,0,19593,101100,133,98.3,-3425.765866929738
Sewanee-The University of the South,Tennessee,41,15,0,1,1810,88600,134,89.4,-7081.028008020308
Earlham College,Indiana,45,23,0,1,1004,84e3,135,91.5,-10484.653566001754
Loyola Marymount University,California,44,11,0,1,6624,114700,136,141,8207.951500890646
University of Denver,Colorado,42,13,0,1,6151,97100,137,103.9,-4811.131761232726
Gettysburg College,Pennsylvania,42,24,0,1,2664,111400,138,101.2,11953.806068293663
University of Minnesota-Twin Cities,Minnesota,41,29,1,0,44505,98200,139,100.2,-1983.2236296427582
Willamette University,Oregon,45,13,0,1,2149,98900,140,130,-2570.1315562251402
Kalamazoo College,Michigan,44,40,0,1,1467,95200,141,88.7,-270.8974384339235
Pennsylvania State University-Main Campus,Pennsylvania,34,36,1,0,43073,99600,142,101.2,-4155.489011898404
Purdue University-Main Campus,Indiana,30,39,1,0,31985,104e3,143,91.5,-204.11027035635198
Syracuse University,New York,44,28,1,1,27675,102900,144,133.9,-6184.536449423991
Loyola University Maryland,Maryland,46,9,0,1,4128,114200,145,130.4,12379.636273617449
Indiana University-Bloomington,Indiana,39,16,1,0,40945,94100,147,91.5,-3836.22226229668
