college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
Harvey Mudd College,California,34,68,Not Division 1 Football,Private not-for-profit,831,155800
Princeton University,New Jersey,36,47,Not Division 1 Football,Private not-for-profit,5666,147800
Massachusetts Institute of Technology,Massachusetts,34,60,Not Division 1 Football,Private not-for-profit,4680,147e3
SUNY Maritime College,New York,2,36,Not Division 1 Football,Public,1817,145100
United States Military Academy,New York,8,44,FBS Independents,Public,4536,144300
United States Naval Academy,Maryland,11,56,FBS Independents,Public,4535,143800
California Institute of Technology,California,27,73,Not Division 1 Football,Private not-for-profit,1034,142500
Babson College,Massachusetts,36,1,Not Division 1 Football,Private not-for-profit,2211,141700
Harvard University,Massachusetts,38,20,Not Division 1 Football,Private not-for-profit,14128,140700
Stanford University,California,36,48,Pac-12,Private not-for-profit,8302,140400
Dartmouth College,New Hampshire,37,33,Not Division 1 Football,Private not-for-profit,4695,140300
Williams College,Massachusetts,39,34,Not Division 1 Football,Private not-for-profit,2233,138400
United States Air Force Academy,Colorado,11,48,Mountain West,Public,4112,138300
Webb Institute,New York,8,75,Not Division 1 Football,Private not-for-profit,91,138200
Samuel Merritt University,California,69,1,Not Division 1 Football,Private not-for-profit,851,138100
Colgate University,New York,44,28,Not Division 1 Football,Private not-for-profit,2991,137700
Stevens Institute of Technology,New Jersey,17,65,Not Division 1 Football,Private not-for-profit,3076,136900
Colorado School of Mines,Colorado,16,72,Not Division 1 Football,Public,4821,136100
United States Merchant Marine Academy,New York,7,53,Not Division 1 Football,Public,908,135900
University of Pennsylvania,Pennsylvania,41,23,Not Division 1 Football,Private not-for-profit,13096,134800
Santa Clara University,California,38,31,Not Division 1 Football,Private not-for-profit,5759,134500
Duke University,North Carolina,37,27,ACC,Private not-for-profit,7253,134400
Lehigh University,Pennsylvania,32,51,Not Division 1 Football,Private not-for-profit,5325,133900
Albany College of Pharmacy and Health Sciences,New York,49,3,Not Division 1 Football,Private not-for-profit,1008,133500
Yale University,Connecticut,39,24,Not Division 1 Football,Private not-for-profit,7150,132100
Brown University,Rhode Island,42,40,Not Division 1 Football,Private not-for-profit,7214,132e3
Washington and Lee University,Virginia,37,22,Not Division 1 Football,Private not-for-profit,1867,131700
Claremont McKenna College,California,36,15,Not Division 1 Football,Private not-for-profit,1359,130800
Rice University,Texas,35,49,Conference USA,Private not-for-profit,4051,130200
University of California-Berkeley,California,40,35,Pac-12,Public,29591,130100
Georgetown University,District of Columbia,44,13,Not Division 1 Football,Private not-for-profit,8719,129500
Rensselaer Polytechnic Institute,New York,19,62,Not Division 1 Football,Private not-for-profit,5914,129500
Worcester Polytechnic Institute,Massachusetts,21,69,Not Division 1 Football,Private not-for-profit,4362,129400
Georgia Institute of Technology-Main Campus,Georgia,23,64,ACC,Public,16694,128700
University of Notre Dame,Indiana,36,27,FBS Independents,Private not-for-profit,8626,127900
California State University Maritime Academy,California,6,20,Not Division 1 Football,Public,1147,126800
Clarkson University,New York,18,51,Not Division 1 Football,Private not-for-profit,3352,126700
Carnegie Mellon University,Pennsylvania,32,58,Not Division 1 Football,Private not-for-profit,6869,126400
Swarthmore College,Pennsylvania,38,35,Not Division 1 Football,Private not-for-profit,1606,126200
Rose-Hulman Institute of Technology,Indiana,11,74,Not Division 1 Football,Private not-for-profit,2339,125900
Bates College,Maine,38,27,Not Division 1 Football,Private not-for-profit,1903,125e3
University of California-San Diego,California,35,53,Not Division 1 Football,Public,27918,124900
Columbia University in the City of New York,New York,35,31,Not Division 1 Football,Private not-for-profit,8623,124700
Bucknell University,Pennsylvania,40,38,Not Division 1 Football,Private not-for-profit,3721,124700
Virginia Military Institute,Virginia,3,44,Not Division 1 Football,Public,1762,124600
Wabash College,Indiana,1,28,Not Division 1 Football,Private not-for-profit,873,124400
"Union College - Schenectady, NY",New York,34,46,Not Division 1 Football,Private not-for-profit,2277,124300
Cooper Union for the Advancement of Science and Art,New York,22,53,Not Division 1 Football,Private not-for-profit,942,124200
Cornell University,New York,39,44,Not Division 1 Football,Private not-for-profit,14656,123900
Lafayette College,Pennsylvania,37,42,Not Division 1 Football,Private not-for-profit,2541,123800
Amherst College,Massachusetts,38,28,Not Division 1 Football,Private not-for-profit,1921,122800
Yeshiva University,New York,33,14,Not Division 1 Football,Private not-for-profit,2949,122300
Tufts University,Massachusetts,39,25,Not Division 1 Football,Private not-for-profit,5697,120200
College of the Holy Cross,Massachusetts,38,23,Not Division 1 Football,Private not-for-profit,2759,119700
New Jersey Institute of Technology,New Jersey,13,61,Not Division 1 Football,Public,8992,119700
Haverford College,Pennsylvania,40,39,Not Division 1 Football,Private not-for-profit,1305,119500
University of Southern California,California,38,25,Pac-12,Private not-for-profit,20543,119300
Manhattan College,New York,33,39,Not Division 1 Football,Private not-for-profit,3675,119300
MCPHS University,Massachusetts,58,3,Not Division 1 Football,Private not-for-profit,4116,119200
University of California-Irvine,California,42,33,Not Division 1 Football,Public,26991,118800
University of California-Santa Barbara,California,40,29,Not Division 1 Football,Public,21897,118800
Wake Forest University,North Carolina,40,15,ACC,Private not-for-profit,4966,118400
University of Virginia-Main Campus,Virginia,43,22,ACC,Public,18930,118400
Massachusetts Maritime Academy,Massachusetts,5,44,Not Division 1 Football,Public,1742,118300
The King's University,Texas,40,1,Not Division 1 Football,Private not-for-profit,693,118200
Maine Maritime Academy,Maine,5,50,Not Division 1 Football,Public,997,117900
Wesleyan University,Connecticut,43,23,Not Division 1 Football,Private not-for-profit,3091,117700
Fairfield University,Connecticut,48,22,Not Division 1 Football,Private not-for-profit,4398,117500
University of the Sciences,Pennsylvania,48,10,Not Division 1 Football,Private not-for-profit,1572,117200
University of Chicago,Illinois,36,21,Not Division 1 Football,Private not-for-profit,6046,117e3
Kettering University,Michigan,8,62,Not Division 1 Football,Private not-for-profit,2092,117e3
New York University,New York,45,18,Not Division 1 Football,Private not-for-profit,3e4,117e3
United States Coast Guard Academy,Connecticut,88,76,Not Division 1 Football,Public,NA,116700
Hobart William Smith Colleges,New York,37,16,Not Division 1 Football,Private not-for-profit,2378,116400
New Mexico Institute of Mining and Technology,New Mexico,19,70,Not Division 1 Football,Public,1755,116200
Vanderbilt University,Tennessee,38,23,SEC,Private not-for-profit,7046,116e3
George Washington University,District of Columbia,44,15,Not Division 1 Football,Private not-for-profit,12039,115900
Saint Mary's College of California,California,48,6,Not Division 1 Football,Private not-for-profit,3105,115800
Bowdoin College,Maine,38,36,Not Division 1 Football,Private not-for-profit,1952,115500
Boston College,Massachusetts,41,12,ACC,Private not-for-profit,10297,115300
University of California-Los Angeles,California,44,32,Pac-12,Public,31906,114800
California Polytechnic State University-San Luis Obispo,California,35,42,Not Division 1 Football,Public,20622,114700
Loyola Marymount University,California,44,11,Not Division 1 Football,Private not-for-profit,6624,114700
Villanova University,Pennsylvania,42,24,Not Division 1 Football,Private not-for-profit,7871,114700
Illinois Institute of Technology,Illinois,17,56,Not Division 1 Football,Private not-for-profit,3858,114400
Bentley University,Massachusetts,29,8,Not Division 1 Football,Private not-for-profit,4369,114300
Loyola University Maryland,Maryland,46,9,Not Division 1 Football,Private not-for-profit,4128,114200
Brandeis University,Massachusetts,45,27,Not Division 1 Football,Private not-for-profit,3852,114200
Menlo College,California,32,1,Not Division 1 Football,Private not-for-profit,852,114100
Pomona College,California,38,44,Not Division 1 Football,Private not-for-profit,1677,114100
Carleton College,Minnesota,40,41,Not Division 1 Football,Private not-for-profit,2093,113800
Boston University,Massachusetts,48,24,Not Division 1 Football,Private not-for-profit,22685,113500
Washington University in St Louis,Missouri,42,32,Not Division 1 Football,Private not-for-profit,8440,113400
Pennsylvania State University-Penn State Great Valley,Pennsylvania,88,20,Not Division 1 Football,Public,NA,113400
Northwestern University,Illinois,39,20,Big Ten,Private not-for-profit,10611,113300
Embry-Riddle Aeronautical University-Prescott,Arizona,11,40,Not Division 1 Football,Private not-for-profit,2356,113200
Middlebury College,Vermont,41,19,Not Division 1 Football,Private not-for-profit,3849,113200
