"year","name","college","pos","height_in","weight_lbs","wonderlic","x40_yard","bench_press","vert_leap_in","broad_jump_in","shuttle","x3cone"
2011,"Sam Acho","Texas","OLB",73.63,262,NA,4.67,23,33.5,112,4.32,6.69
2011,"Darvin Adams","Auburn","WR",74.13,190,NA,4.56,NA,NA,NA,9.99,9.99
2011,"Olufemi Ajiboye","South Carolina","DT",73.38,297,NA,5.31,23,24,91,4.71,7.72
2011,"Anthony Allen","Georgia Tech","RB",72.75,228,NA,4.56,24,41.5,120,4.06,6.79
2011,"Armando Allen","Notre Dame","RB",68.25,199,NA,4.52,23,NA,NA,9.99,9.99
2011,"Cortez Allen","Citadel (SC)","CB",73.25,197,NA,4.5,18,35.5,129,4.01,6.76
2011,"Prince Amukamara","Nebraska","CB",72,206,NA,4.38,15,38,128,4.08,6.97
2011,"David Arkin","Missouri State","OG",76.75,300,NA,5.31,25,29,103,4.63,7.6
2011,"Matt Asiata","Utah","RB",71,229,NA,4.77,22,30,104,4.37,7.09
2011,"Marvin Austin","North Carolina","DT",73.63,309,NA,4.84,38,30.5,112,4.4,7.33
2011,"Akeem Ayers","UCLA","OLB",74.5,254,NA,4.81,18,31,116,4.28,7.49
2011,"Allen Bailey","Miami (FL)","DE",75,285,NA,4.71,27,36.5,117,4.56,7.43
2011,"Brandon Bair","Oregon","DE",77.88,276,NA,4.92,26,28,114,4.37,7.07
2011,"Jon Baldwin","Pittsburgh","WR",76.38,228,14,4.49,20,42,129,4.34,7.07
2011,"Christian Ballard","Iowa","DE",75.75,283,NA,4.75,NA,31.5,111,4.51,7.54
2011,"Joseph Barksdale","Louisiana State","OT",76.75,325,NA,5.31,29,29,103,4.75,8.27
2011,"Ryan Bartholomew","Syracuse","C",73.13,302,NA,4.93,34,26.5,92,4.62,7.62
2011,"Jeremy Beal","Oklahoma","ILB",74.25,262,NA,5.14,22,28.5,106,4.46,7.2
2011,"Nick Bellore","Central Michigan","ILB",73,245,NA,4.84,23,32.5,109,4,6.98
2011,"Damien Berry","Miami (FL)","RB",70.25,211,NA,4.58,23,33.5,120,4.12,7
2011,"Armon Binns","Cincinnati","WR",75,209,NA,4.5,13,31.5,118,4.31,6.86
2011,"Ahmad Black","Florida","SS",69.5,184,NA,4.7,18,35.5,119,4.2,6.85
2011,"Clint Boling","Georgia","OG",76.63,308,NA,5.28,28,31,102,4.64,7.66
2011,"Justin Boren","Ohio State","OG",74.88,309,NA,5.4,28,NA,NA,4.75,7.57
2011,"DaQuan Bowers","Clemson","DE",75.38,280,NA,4.64,22,NA,NA,9.99,9.99
2011,"Allen Bradford","Southern California","RB",70.88,242,NA,4.53,28,29,113,4.39,6.97
2011,"James Brewer","Indiana","OT",78.25,323,NA,5.21,25,26,100,4.81,7.84
2011,"Niles Brinkley","Wisconsin","CB",69.5,193,NA,4.54,15,33.5,120,9.99,7.23
2011,"Chykie Brown","Texas","CB",71.25,190,NA,4.49,NA,36.5,120,4,6.5
2011,"Curtis Brown","Texas","CB",71.63,185,NA,4.51,10,39.5,128,4,6.59
2011,"DeAndre Brown","Southern Mississippi","WR",77.63,233,NA,4.59,20,29,117,4.33,6.93
2011,"Jalil Brown","Colorado","CB",72.63,204,NA,4.52,24,35.5,116,4.25,6.85
2011,"Vincent Brown","San Diego State","WR",71.25,187,NA,4.68,12,33.5,121,4.25,6.64
2011,"Kendric Burney","North Carolina","CB",69.38,186,NA,4.71,14,32.5,112,9.99,9.99
2011,"Brandon Burton","Utah","CB",71.63,190,NA,4.5,18,32,118,4.07,6.93
2011,"Stephen Burton","West Texas A&M","WR",73.38,221,NA,4.5,19,34.5,117,4.31,7.04
2011,"Mario Butler","Georgia Tech","CB",72.13,182,NA,4.65,NA,30.5,120,4.37,7.09
2011,"Jordan Cameron","Southern California","TE",77.25,254,NA,4.53,23,37.5,119,4.03,6.82
2011,"Marcus Cannon","Texas Christian","OT",77,358,NA,5.26,33,30.5,105,4.97,8.07
2011,"Gabe Carimi","Wisconsin","OT",79,314,NA,5.18,29,31.5,109,9.99,9.99
2011,"Rashad Carmichael","Virginia Tech","CB",70,192,NA,4.53,13,31,116,4.06,6.69
2011,"James Carpenter","Alabama","OT",76.38,321,NA,5.22,23,NA,NA,9.99,9.99
2011,"Bruce Carter","North Carolina","OLB",73.5,241,NA,4.57,25,NA,NA,9.99,9.99
2011,"Chris Carter","Frenso State (CA)","OLB",73.13,248,NA,4.58,27,36,114,4.34,6.88
2011,"Delone Carter","Syracuse","RB",68.63,222,NA,4.54,27,37,120,4.07,6.92
2011,"Quinton Carter","Oklahoma","FS",72.63,208,NA,4.57,23,34.5,121,4.06,7.05
2011,"Jurrell Casey","Southern California","DT",72.63,300,NA,5.04,26,27.5,101,4.78,7.51
2011,"Anthony Castonzo","Boston College","OT",79,311,NA,5.21,28,29.5,105,4.4,7.25
2011,"Shaun Chapas","Georgia","FB",74.13,247,NA,4.87,23,35.5,116,4.4,7.13
2011,"Chimdi Chekwa","Ohio State","CB",71.75,191,NA,4.38,NA,34.5,126,9.99,9.99
2011,"Ugo Chinasa","Oklahoma State","DE",76.88,264,NA,4.63,22,28,117,4.39,7.07
2011,"Charles Clay","Tulsa (OK)","FB",74.88,245,NA,4.69,18,33.5,118,4.15,7.07
2011,"John Clay","Wisconsin","RB",72.5,230,NA,4.83,NA,29,111,9.99,9.99
2011,"Adrian Clayborn","Iowa","DE",74.63,281,NA,4.78,NA,33,113,4.13,7.3
2011,"Randall Cobb","Kentucky","WR",70.25,191,NA,4.46,16,33.5,115,4.34,7.08
2011,"Ryan Colburn","Frenso State (CA)","QB",74.75,233,NA,5.12,NA,NA,NA,4.28,6.84
2011,"Chris Conte","California","FS",74.38,197,NA,4.52,18,35.5,127,4.19,7.01
2011,"Graig Cooper","Miami (FL)","RB",70,205,NA,4.6,18,NA,114,4.03,6.66
2011,"Vance Cuff","Georgia","CB",70,178,NA,4.53,NA,36,120,4.09,6.91
2011,"Chris Culliver","South Carolina","FS",72.38,199,NA,4.36,NA,38.5,123,4.08,6.88
2011,"Andy Dalton","Texas Christian","QB",74,215,29,4.83,NA,29.5,106,4.27,6.93
2011,"Wayne Daniels","Texas Christian","OLB",72.25,260,NA,5.03,NA,25,106,4.68,7.81
2011,"Marcell Dareus","Alabama","DT",75.13,319,NA,4.93,24,27,NA,4.62,7.83
2011,"Josh Davis","Georgia","OT",79.13,313,NA,5.5,NA,24,91,5.07,7.98
