"Round","Pick","Player","Name","Team","Position","College","year"
"Round","Pick","Player","Name","Team","Position","College",2011
"1","1","1","Cam Newton","Panthers","QB","Auburn",2011
"","2","2","Von Miller","Broncos","LB","Texas A&M",2011
"","3","3","Marcell Dareus","Bills","DT","Alabama",2011
"","4","4","A.J. Green","Bengals","WR","Georgia",2011
"","5","5","Patrick Peterson","Cardinals","DB","Louisiana State",2011
"","6","6","Julio Jones","Falcons","WR","Alabama",2011
"","7","7","Aldon Smith","49ers","DE","Missouri",2011
"","8","8","Jake Locker","Titans","QB","Washington",2011
"","9","9","Tyron Smith","Cowboys","T","USC",2011
"","10","10","Blaine Gabbert","Jaguars","QB","Missouri",2011
"","11","11","J.J. Watt","Texans","DE","Wisconsin",2011
"","12","12","Christian Ponder","Vikings","QB","Florida State",2011
"","13","13","Nick Fairley","Lions","DT","Auburn",2011
"","14","14","Robert Quinn","Rams","DE","North Carolina",2011
"","15","15","Mike Pouncey","Dolphins","G","Florida",2011
"","16","16","Ryan Kerrigan","Redskins","LB","Purdue",2011
"","17","17","Nate Solder","Patriots","T","Colorado",2011
"","18","18","Corey Liuget","Chargers","DT","Illinois",2011
"","19","19","Prince Amukamara","Giants","DB","Nebraska",2011
"","20","20","Adrian Clayborn","Buccaneers","DE","Iowa",2011
"","21","21","Phil Taylor","Browns","DT","Baylor",2011
"","22","22","Anthony Castonzo","Colts","T","Boston College",2011
"","23","23","Danny Watkins","Eagles","G","Baylor",2011
"","24","24","Cameron Jordan","Saints","DE","California",2011
"","25","25","James Carpenter","Seahawks","T","Alabama",2011
"","26","26","Jon Baldwin","Chiefs","WR","Pittsburgh",2011
"","27","27","Jimmy Smith","Ravens","DB","Colorado",2011
"","28","28","Mark Ingram","Saints","RB","Alabama",2011
"","29","29","Gabe Carimi","Bears","T","Wisconsin",2011
"","30","30","Muhammad Wilkerson","Jets","DT","Temple",2011
"","31","31","Cameron Hayward","Steelers","DE","Ohio State",2011
"","32","32","Derek Sherrod","Packers","T","Mississippi State",2011
"2","1","33","Ras-I Dowling","Patriots","DB","Virginia",2011
"","2","34","Aaron Williams","Bills","DB","Texas",2011
"","3","35","Andy Dalton","Bengals","QB","Texas Christian",2011
"","4","36","Colin Kaepernick","49ers","QB","Nevada",2011
"","5","37","Jabaal Sheard","Browns","DE","Pittsburgh",2011
"","6","38","Ryan Williams","Cardinals","RB","Virginia Tech",2011
"","7","39","Akeem Ayers","Titans","LB","UCLA",2011
"","8","40","Bruce Carter","Cowboys","LB","North Carolina",2011
"","9","41","Jarvis Jenkins","Redskins","DT","Clemson",2011
"","10","42","Brooks Reed","Texans","DE","Arizona",2011
"","11","43","Kyle Rudolph","Vikings","TE","Notre Dame",2011
"","12","44","Titus Young","Lions","WR","Boise State",2011
"","13","45","Rahim Moore","Broncos","DB","UCLA",2011
"","14","46","Orlando Franklin","Broncos","T","Miami (FL)",2011
"","15","47","Lance Kendricks","Rams","TE","Wisconsin",2011
"","16","48","Stefan Wisniewki","Raiders","C","Penn State",2011
"","17","49","Benjamin Ijalana","Colts","T","Villanova",2011
"","18","50","Marcus Gilchrist","Chargers","DB","Clemson",2011
"","19","51","Da'Quan Bowers","Buccaneers","DE","Clemson",2011
"","20","52","Marvin Austin","Giants","DT","North Carolina",2011
"","21","53","Stephen Paea","Bears","DT","Oregon State",2011
"","22","54","Jaiquawn Jarrett","Eagles","DB","Temple",2011
"","23","55","Rodney Hudson","Chiefs","C","Florida State",2011
"","24","56","Shane Vereen","Patriots","RB","California",2011
"","25","57","Mikel Leshoure","Lions","RB","Illinois",2011
"","26","58","Torrey Smith","Ravens","WR","Maryland",2011
"","27","59","Greg Little","Browns","WR","North Carolina",2011
"","28","60","Brandon Harris","Texans","DB","Miami (FL)",2011
"","29","61","Jonas Mouton","Chargers","LB","Michigan",2011
"","30","62","Daniel Thomas","Dolphins","RB","Kansas State",2011
"","31","63","Marcus Gilbert","Steelers","T","Florida",2011
"","32","64","Randall Cobb","Packers","WR","Kentucky",2011
"3","1","65","Terrell McClain","Panthers","DT","South Florida",2011
"","2","66","Dontay Moch","Bengals","LB","Nevada",2011
"","3","67","Nate Irving","Broncos","LB","North Carolina State",2011
"","4","68","Kelvin Sheppard","Bills","LB","Louisiana State",2011
"","5","69","Robert Housler","Cardinals","TE","Florida Atlantic",2011
"","6","70","Justin Houston","Chiefs","DE","Georgia",2011
"","7","71","Demarco Murray","Cowboys","RB","Oklahoma",2011
"","8","72","Martez Wilson","Saints","LB","Illinois",2011
"","9","73","Stevan Ridley","Patriots","RB","Louisiana State",2011
"","10","74","Ryan Mallett","Patriots","QB","Arkansas",2011
"","11","75","John Moffitt","Seahawks","G","Wisconsin",2011
"","12","76","William Rackley","Jaguars","G","Lehigh",2011
