date,outcome
20160911,W
20120916,L
20081221,W
20040919,W
19991031,W
19960915,W
19931010,W
19910929,L
19901125,L
19841202,L
19811129,L
19780910,W
20171022,W
20170205,W
20130929,W
20090927,W
20051009,W
20011104,W
19981108,L
19951001,L
19921129,L
19891015,L
19861102,W
19831030,L
19800914,L
20161212,W
20150110,W
20131222,W
20130120,L
20120923,L
20120122,W
20101017,W
20100110,L
20091004,W
20071203,W
20041128,W
20000102,W
19961006,W
20161030,W
20161002,L
20151123,W
20150920,W
20141228,L
20141012,W
20131229,W
20130908,W
20121111,W
20120930,W
20120101,W
20110925,L
20101226,W
20100926,W
20091220,W
20090914,W
20081228,W
20081109,W
20071118,W
20070923,W
20061022,W
20060910,W
20051211,W
20051030,W
20041114,W
20041003,W
20031227,W
20030907,L
20021208,W
20021103,W
20011216,W
20011111,W
20001217,W
20001105,L
19991226,L
19991128,L
19981129,W
19981115,L
19971109,W
19971012,W
19961027,W
19960908,L
19951126,W
19951023,W
19941218,W
19940911,L
19931107,L
19930905,L
19921101,L
19920927,L
19911124,W
19911103,L
19901118,L
19901028,L
19891119,W
19891001,L
19881023,L
19880918,L
19871220,W
19871011,W
19861123,W
19861026,W
19851013,W
19850922,W
19841111,W
19840902,W
19831106,W
19831023,W
19830102,W
19811213,L
19811122,L
19801214,W
19801026,L
19791125,L
19791104,W
19781210,W
19781105,W
20171001,L
20131118,L
20091213,W
20050918,L
20040201,W
20020106,W
19951029,L
20141026,W
20101212,W
20061126,W
20021110,W
20001210,L
19970921,W
19941224,W
19881030,W
19860126,L
19850915,L
19821205,L
19791014,W
20161016,W
20141005,W
20100912,W
20041212,W
20001119,W
19940918,W
19931212,W
19921220,L
19911222,L
19900923,L
19881016,W
19861207,L
19851222,W
19841014,W
19790916,W
19781015,W
20151011,W
20111016,W
20071014,W
20031116,W
19991205,W
19961215,L
19871115,L
19841122,L
19810921,L
19781203,L
20171112,W
20161218,W
20160124,L
20151129,L
20141102,W
20140119,L
20131124,W
20121007,W
20120114,W
20111218,W
20091011,L
20081020,W
20060924,L
20060114,L
20051016,L
20031103,W
20021027,L
20011028,L
20001001,W
19991024,W
19980907,L
19971006,L
19961117,L
19951008,L
19911201,L
19911027,L
19881217,L
19871206,L
19870104,L
19860928,L
19841104,L
19800929,W
19791111,L
20141123,W
