spread,win_pct
-26.5,100.0%
-24,100.0%
-22,100.0%
-20.5,100.0%
-19.5,100.0%
-19,100.0%
-17.5,100.0%
-17,100.0%
-16.5,100.0%
-16,100.0%
-15.5,100.0%
-15,100.0%
-14.5,91.7%
-14,90.2%
-13.5,84.3%
-13,85.7%
-12.5,76.0%
-12,81.2%
-11.5,82.8%
-11,93.8%
-10.5,82.3%
-10,81.1%
-9.5,81.2%
-9,73.6%
-8.5,83.3%
-8,67.4%
-7.5,76.7%
-7,74.1%
-6.5,69.4%
-6,69.8%
-5.5,68.3%
-5,66.2%
-4.5,68.1%
-4,69.0%
-3.5,65.1%
-3,55.5%
-2.5,50.4%
-2,54.2%
-1.5,54.3%
-1,56.2%
0,50.0%
1,43.8%
1.5,45.7%
2,45.8%
2.5,49.6%
3,44.5%
3.5,34.9%
4,31.0%
4.5,31.9%
5,33.8%
5.5,31.7%
6,30.2%
6.5,30.6%
7,25.9%
7.5,23.3%
8,32.6%
8.5,16.7%
9,26.4%
9.5,18.8%
10,18.9%
10.5,17.7%
11,6.2%
11.5,17.2%
12,18.8%
12.5,24.0%
13,14.3%
13.5,15.7%
14,9.8%
14.5,8.3%
15,0.0%
15.5,0.0%
16,0.0%
16.5,0.0%
17,0.0%
17.5,0.0%
19,0.0%
19.5,0.0%
20.5,0.0%
22,0.0%
24,0.0%
26.5,0.0%
