spread,win_pct
-26.5,100.0%
-24,100.0%
-22,100.0%
-20.5,100.0%
-19.5,100.0%
-19,100.0%
-17.5,100.0%
-17,100.0%
-16.5,100.0%
-16,100.0%
-15.5,100.0%
-15,100.0%
-14.5,91.7%
-14,92.3%
-13.5,85.9%
-13,85.4%
-12.5,75.0%
-12,78.6%
-11.5,82.8%
-11,93.5%
-10.5,81.7%
-10,81.6%
-9.5,81.1%
-9,74.0%
-8.5,82.8%
-8,71.8%
-7.5,76.4%
-7,73.2%
-6.5,68.4%
-6,68.8%
-5.5,69.7%
-5,66.2%
-4.5,68.2%
-4,68.7%
-3.5,65.0%
-3,55.3%
-2.5,51.2%
-2,53.1%
-1.5,54.4%
-1,55.9%
0,50.0%
1,44.1%
1.5,45.6%
2,46.9%
2.5,48.8%
3,44.7%
3.5,35.0%
4,31.3%
4.5,31.8%
5,33.8%
5.5,30.3%
6,31.2%
6.5,31.6%
7,26.8%
7.5,23.6%
8,28.2%
8.5,17.2%
9,26.0%
9.5,18.9%
10,18.4%
10.5,18.3%
11,6.5%
11.5,17.2%
12,21.4%
12.5,25.0%
13,14.6%
13.5,14.1%
14,7.7%
14.5,8.3%
15,0.0%
15.5,0.0%
16,0.0%
16.5,0.0%
17,0.0%
17.5,0.0%
19,0.0%
19.5,0.0%
20.5,0.0%
22,0.0%
24,0.0%
26.5,0.0%
