lat,long,path_order,location_index,travel_time,miles,route_order
45.52576,-122.68494,1,1,82,371 ft,1
45.52579,-122.6843,2,1,82,371 ft,1
45.52616,-122.68432,3,1,82,371 ft,1
45.52616,-122.68449,4,1,82,371 ft,1
45.52619,-122.68449,5,1,82,371 ft,1
45.52624,-122.68449,6,1,82,371 ft,1
45.52624,-122.68449,1,24,78,381 ft,2
45.52616,-122.68449,2,24,78,381 ft,2
45.52616,-122.68432,3,24,78,381 ft,2
45.52649,-122.68434,4,24,78,381 ft,2
45.5265,-122.68361,5,24,78,381 ft,2
45.52651,-122.68352,1,18,225,0.2 mi,3
45.52653,-122.6833,2,18,225,0.2 mi,3
45.52652,-122.68274,3,18,225,0.2 mi,3
45.52652,-122.68245,4,18,225,0.2 mi,3
45.52652,-122.68222,5,18,225,0.2 mi,3
45.52532,-122.68218,6,18,225,0.2 mi,3
45.5251,-122.68217,7,18,225,0.2 mi,3
45.52511,-122.68165,8,18,225,0.2 mi,3
45.52511,-122.68165,1,11,323,0.2 mi,4
45.5251,-122.68217,2,11,323,0.2 mi,4
45.52439,-122.68216,3,11,323,0.2 mi,4
45.52367,-122.68213,4,11,323,0.2 mi,4
45.52229,-122.68208,5,11,323,0.2 mi,4
45.52215,-122.68154,6,11,323,0.2 mi,4
45.52215,-122.68154,1,19,833,0.6 mi,5
45.52202,-122.68104,2,19,833,0.6 mi,5
45.52163,-122.6795,3,19,833,0.6 mi,5
45.52094,-122.67986,4,19,833,0.6 mi,5
45.52026,-122.68025,5,19,833,0.6 mi,5
45.51949,-122.68064,6,19,833,0.6 mi,5
45.51836,-122.68124,7,19,833,0.6 mi,5
45.51827,-122.68132,8,19,833,0.6 mi,5
45.51761,-122.68167,9,19,833,0.6 mi,5
45.51694,-122.68204,10,19,833,0.6 mi,5
45.51495,-122.68312,11,19,833,0.6 mi,5
45.51477,-122.68244,12,19,833,0.6 mi,5
45.51477,-122.68244,1,8,555,0.5 mi,6
45.51469,-122.68212,2,8,555,0.5 mi,6
45.51535,-122.68178,3,8,555,0.5 mi,6
45.51602,-122.68142,4,8,555,0.5 mi,6
45.51679,-122.681,5,8,555,0.5 mi,6
45.51869,-122.67996,6,8,555,0.5 mi,6
45.51936,-122.67961,7,8,555,0.5 mi,6
45.52069,-122.67891,8,8,555,0.5 mi,6
45.52079,-122.67931,9,8,555,0.5 mi,6
45.52079,-122.67931,1,6,238,0.2 mi,7
45.52061,-122.67861,2,6,238,0.2 mi,7
45.52042,-122.67793,3,6,238,0.2 mi,7
45.52176,-122.67721,4,6,238,0.2 mi,7
45.52212,-122.67701,5,6,238,0.2 mi,7
45.52212,-122.67701,1,16,307,0.3 mi,8
45.52176,-122.67721,2,16,307,0.3 mi,8
45.52173,-122.67712,3,16,307,0.3 mi,8
45.52147,-122.67615,4,16,307,0.3 mi,8
45.521,-122.67442,5,16,307,0.3 mi,8
45.52091,-122.67409,6,16,307,0.3 mi,8
45.52045,-122.67433,7,16,307,0.3 mi,8
45.52002,-122.67457,8,16,307,0.3 mi,8
45.52002,-122.67457,1,5,1193,0.9 mi,9
45.51958,-122.67481,2,5,1193,0.9 mi,9
45.51892,-122.67517,3,5,1193,0.9 mi,9
45.51868,-122.67418,4,5,1193,0.9 mi,9
45.51859,-122.6734,5,5,1193,0.9 mi,9
45.51856,-122.67305,6,5,1193,0.9 mi,9
45.51853,-122.67285,7,5,1193,0.9 mi,9
45.51852,-122.67269,8,5,1193,0.9 mi,9
45.51847,-122.67266,9,5,1193,0.9 mi,9
45.51837,-122.67258,10,5,1193,0.9 mi,9
45.51837,-122.67249,11,5,1193,0.9 mi,9
45.51834,-122.67215,12,5,1193,0.9 mi,9
45.51832,-122.67203,13,5,1193,0.9 mi,9
45.51818,-122.67134,14,5,1193,0.9 mi,9
45.518,-122.67063,15,5,1193,0.9 mi,9
45.51748,-122.66868,16,5,1193,0.9 mi,9
45.51728,-122.66802,17,5,1193,0.9 mi,9
45.51718,-122.66779,18,5,1193,0.9 mi,9
